Date,Home_Team,Away_Team,Period,Clock,Home_Team_Skaters,Away_Team_Skaters,Home_Team_Goals,Away_Team_Goals,Team,Player_Id,Event,X_Coordinate,Y_Coordinate,Detail_1,Detail_2,Detail_3,Detail_4,Player_Id_2,X_Coordinate_2,Y_Coordinate_2
10/13/2024,Team A,Team B,1,20:00,5,5,0,0,Team A,12,Faceoff Win,0,0.5,Backhand,,,,15,,
10/13/2024,Team A,Team B,1,19:59,5,5,0,0,Team A,2,Puck Recovery,20,-38.5,,,,,,,
10/13/2024,Team A,Team B,1,19:57,5,5,0,0,Team A,2,Play,29,-37.5,Direct,,,,7,48,6.5
10/13/2024,Team A,Team B,1,19:54,5,5,0,0,Team A,7,Play,48,26.5,Indirect,,,,28,-12,37.5
10/13/2024,Team A,Team B,1,19:52,5,5,0,0,Team B,15,Puck Recovery,-34,-1.5,,,,,,,
10/13/2024,Team A,Team B,1,19:52,5,5,0,0,Team B,15,Play,-34,-1.5,Direct,,,,28,-10,6.5
10/13/2024,Team A,Team B,1,19:50,5,5,0,0,Team B,28,Play,6,-9.5,Direct,,,,19,18,-37.5
10/13/2024,Team A,Team B,1,19:49,5,5,0,0,Team B,19,Zone Entry,24,-38.5,Carried,,,,2,,
10/13/2024,Team A,Team B,1,19:47,5,5,0,0,Team A,2,Puck Recovery,81,-37.5,,,,,,,
10/13/2024,Team A,Team B,1,19:43,5,5,0,0,Team A,2,Incomplete Play,53,-38.5,Direct,,,,12,38,-33.5
10/13/2024,Team A,Team B,1,19:42,5,5,0,0,Team B,2,Puck Recovery,33,-38.5,,,,,,,
10/13/2024,Team A,Team B,1,19:42,5,5,0,0,Team B,2,Shot,33,-38.5,Snapshot,On Net,1,f,,,
10/13/2024,Team A,Team B,1,19:39,5,5,0,0,Team B,28,Puck Recovery,51,37.5,,,,,,,
10/13/2024,Team A,Team B,1,19:39,5,5,0,0,Team B,28,Incomplete Play,51,37.5,Indirect,,,,19,89,28.5
10/13/2024,Team A,Team B,1,19:36,5,5,0,0,Team A,2,Puck Recovery,93,28.5,,,,,,,
10/13/2024,Team A,Team B,1,19:28,5,5,0,0,Team A,20,Puck Recovery,70,39.5,,,,,,,
10/13/2024,Team A,Team B,1,19:27,5,5,0,0,Team A,20,Incomplete Play,67,39.5,Direct,,,,7,60,33.5
10/13/2024,Team A,Team B,1,19:26,5,5,0,0,Team B,2,Puck Recovery,37,2.5,,,,,,,
10/13/2024,Team A,Team B,1,19:25,5,5,0,0,Team B,2,Play,32,21.5,Direct,,,,40,33,-10.5
10/13/2024,Team A,Team B,1,19:20,5,5,0,0,Team B,40,Play,57,-38.5,Direct,,,,15,32,-27.5
10/13/2024,Team A,Team B,1,19:18,5,5,0,0,Team B,15,Shot,35,-10.5,Snapshot,Blocked,1,f,,,
10/13/2024,Team A,Team B,1,19:17,5,5,0,0,Team A,2,Puck Recovery,74,-4.5,,,,,,,
10/13/2024,Team A,Team B,1,19:16,5,5,0,0,Team A,2,Play,58,-10.5,Direct,,,,12,51,-20.5
10/13/2024,Team A,Team B,1,19:12,5,5,0,0,Team A,12,Play,3,-39.5,Direct,,,,28,-18,-37.5
10/13/2024,Team A,Team B,1,19:09,5,5,0,0,Team B,Go,Puck Recovery,-97,-6.5,,,,,,,
10/13/2024,Team A,Team B,1,19:07,5,5,0,0,Team B,Go,Play,-98,-6.5,Direct,,,,40,-90,-30.5
10/13/2024,Team A,Team B,1,19:05,5,5,0,0,Team B,40,Play,-88,-30.5,Direct,,,,20,-59,-38.5
10/13/2024,Team A,Team B,1,19:04,5,5,0,0,Team B,20,Incomplete Play,-55,-35.5,Direct,,,,2,-46,24.5
10/13/2024,Team A,Team B,1,19:02,5,5,0,0,Team B,2,Puck Recovery,-56,30.5,,,,,,,
10/13/2024,Team A,Team B,1,19:01,5,5,0,0,Team B,2,Play,-65,33.5,Direct,,,,20,-16,-32.5
10/13/2024,Team A,Team B,1,18:58,5,5,0,0,Team B,20,Dump In/Out,6,-38.5,Retained,,,,,,
10/13/2024,Team A,Team B,1,18:58,5,5,0,0,Team B,20,Zone Entry,6,-38.5,Dumped,,,,3,,
10/13/2024,Team A,Team B,1,18:54,5,5,0,0,Team B,9,Puck Recovery,68,40.5,,,,,,,
10/13/2024,Team A,Team B,1,18:53,5,5,0,0,Team B,9,Incomplete Play,77,37.5,Direct,,,,20,70,27.5
10/13/2024,Team A,Team B,1,18:50,5,5,0,0,Team B,9,Puck Recovery,55,35.5,,,,,,,
10/13/2024,Team A,Team B,1,18:48,5,5,0,0,Team B,9,Incomplete Play,78,29.5,Direct,,,,25,65,8.5
10/13/2024,Team A,Team B,1,18:46,5,5,0,0,Team A,38,Puck Recovery,83,31.5,,,,,,,
10/13/2024,Team A,Team B,1,18:45,5,5,0,0,Team A,38,Incomplete Play,83,31.5,Direct,,,,24,57,31.5
10/13/2024,Team A,Team B,1,18:45,5,5,0,0,Team B,25,Takeaway,72,30.5,,,,,,,
10/13/2024,Team A,Team B,1,18:43,5,5,0,0,Team A,17,Puck Recovery,69,17.5,,,,,,,
10/13/2024,Team A,Team B,1,18:43,5,5,0,0,Team A,17,Play,69,17.5,Direct,,,,25,60,10.5
10/13/2024,Team A,Team B,1,18:43,5,5,0,0,Team A,25,Incomplete Play,60,10.5,Direct,,,,24,45,24.5
10/13/2024,Team A,Team B,1,18:42,5,5,0,0,Team B,20,Takeaway,55,17.5,,,,,,,
10/13/2024,Team A,Team B,1,18:42,5,5,0,0,Team B,20,Incomplete Play,55,17.5,Direct,,,,25,62,-2.5
10/13/2024,Team A,Team B,1,18:41,5,5,0,0,Team A,38,Puck Recovery,72,10.5,,,,,,,
10/13/2024,Team A,Team B,1,18:39,5,5,0,0,Team A,38,Play,70,31.5,Direct,,,,24,36,37.5
10/13/2024,Team A,Team B,1,18:31,5,5,0,0,Team A,24,Play,72,20.5,Direct,,,,3,59,-32.5
10/13/2024,Team A,Team B,1,18:28,5,5,0,0,Team A,3,Play,34,-35.5,Direct,,,,24,-3,-16.5
10/13/2024,Team A,Team B,1,18:26,5,5,0,0,Team B,3,Puck Recovery,-34,-22.5,,,,,,,
10/13/2024,Team A,Team B,1,18:26,5,5,0,0,Team B,3,Incomplete Play,-34,-22.5,Direct,,,,8,-34,-29.5
10/13/2024,Team A,Team B,1,18:25,5,5,0,0,Team A,25,Puck Recovery,-33,-38.5,,,,,,,
