Date,game_name,team_name,Player_Id,shift_number,period,start_clock,end_clock,shift_length
10/13/2024,2024-10-13 - Team B at Team A,Team B,Go,1,1,20:00,0:00,20:00
10/13/2024,2024-10-13 - Team B at Team A,Team A,Go,1,1,20:00,0:00,20:00
10/13/2024,2024-10-13 - Team B at Team A,Team A,Go,2,2,20:00,0:00,20:00
10/13/2024,2024-10-13 - Team B at Team A,Team B,Go,2,2,20:00,0:00,20:00
10/13/2024,2024-10-13 - Team B at Team A,Team B,Go,3,3,20:00,0:00,20:00
10/13/2024,2024-10-13 - Team B at Team A,Team A,Go,3,3,20:00,1:13,18:47
10/13/2024,2024-10-13 - Team B at Team A,Team B,25,10,2,19:17,16:50,2:27
10/13/2024,2024-10-13 - Team B at Team A,Team B,3,17,3,13:25,11:27,1:58
10/13/2024,2024-10-13 - Team B at Team A,Team B,20,9,2,18:45,16:50,1:55
10/13/2024,2024-10-13 - Team B at Team A,Team A,38,13,2,14:54,13:00,1:54
10/13/2024,2024-10-13 - Team B at Team A,Team A,25,7,2,14:54,13:00,1:54
10/13/2024,2024-10-13 - Team B at Team A,Team A,17,7,2,14:54,13:00,1:54
10/13/2024,2024-10-13 - Team B at Team A,Team A,24,8,2,14:54,13:00,1:54
10/13/2024,2024-10-13 - Team B at Team A,Team A,3,14,2,14:54,13:00,1:54
10/13/2024,2024-10-13 - Team B at Team A,Team B,9,10,2,18:45,16:54,1:51
10/13/2024,2024-10-13 - Team B at Team A,Team B,23,6,2,18:33,16:43,1:50
10/13/2024,2024-10-13 - Team B at Team A,Team A,12,18,3,12:37,10:53,1:44
10/13/2024,2024-10-13 - Team B at Team A,Team A,20,18,3,12:37,10:53,1:44
10/13/2024,2024-10-13 - Team B at Team A,Team A,25,15,3,12:37,10:53,1:44
10/13/2024,2024-10-13 - Team B at Team A,Team A,3,25,3,12:37,10:57,1:40
10/13/2024,2024-10-13 - Team B at Team A,Team B,4,9,2,15:26,13:47,1:39
10/13/2024,2024-10-13 - Team B at Team A,Team A,38,23,3,7:42,6:04,1:38
10/13/2024,2024-10-13 - Team B at Team A,Team B,18,2,1,15:56,14:20,1:36
10/13/2024,2024-10-13 - Team B at Team A,Team B,2,6,1,4:33,2:57,1:36
10/13/2024,2024-10-13 - Team B at Team A,Team A,3,5,1,12:41,11:06,1:35
10/13/2024,2024-10-13 - Team B at Team A,Team A,2,7,1,5:44,4:09,1:35
10/13/2024,2024-10-13 - Team B at Team A,Team B,40,21,3,3:54,2:21,1:33
10/13/2024,2024-10-13 - Team B at Team A,Team A,29,5,1,3:16,1:45,1:31
10/13/2024,2024-10-13 - Team B at Team A,Team A,7,7,1,5:44,4:15,1:29
10/13/2024,2024-10-13 - Team B at Team A,Team B,4,17,3,13:01,11:33,1:28
10/13/2024,2024-10-13 - Team B at Team A,Team B,40,8,2,20:00,18:33,1:27
10/13/2024,2024-10-13 - Team B at Team A,Team B,2,8,2,20:00,18:33,1:27
10/13/2024,2024-10-13 - Team B at Team A,Team B,3,3,1,12:41,11:14,1:27
10/13/2024,2024-10-13 - Team B at Team A,Team A,20,4,1,12:41,11:14,1:27
10/13/2024,2024-10-13 - Team B at Team A,Team A,24,3,1,12:41,11:14,1:27
10/13/2024,2024-10-13 - Team B at Team A,Team A,8,6,1,3:11,1:45,1:26
10/13/2024,2024-10-13 - Team B at Team A,Team B,40,9,2,16:32,15:07,1:25
10/13/2024,2024-10-13 - Team B at Team A,Team B,18,7,2,16:32,15:07,1:25
10/13/2024,2024-10-13 - Team B at Team A,Team A,21,6,1,1:45,0:20,1:25
10/13/2024,2024-10-13 - Team B at Team A,Team B,19,3,1,15:43,14:20,1:23
10/13/2024,2024-10-13 - Team B at Team A,Team B,29,2,1,15:43,14:20,1:23
10/13/2024,2024-10-13 - Team B at Team A,Team B,8,2,1,15:43,14:20,1:23
10/13/2024,2024-10-13 - Team B at Team A,Team B,4,2,1,15:43,14:20,1:23
10/13/2024,2024-10-13 - Team B at Team A,Team B,8,7,2,18:33,17:10,1:23
10/13/2024,2024-10-13 - Team B at Team A,Team A,27,12,2,1:34,0:11,1:23
10/13/2024,2024-10-13 - Team B at Team A,Team A,12,4,1,12:41,11:18,1:23
10/13/2024,2024-10-13 - Team B at Team A,Team A,25,3,1,12:41,11:18,1:23
10/13/2024,2024-10-13 - Team B at Team A,Team A,2,17,3,20:00,18:38,1:22
10/13/2024,2024-10-13 - Team B at Team A,Team A,14,7,1,3:07,1:45,1:22
10/13/2024,2024-10-13 - Team B at Team A,Team A,21,14,3,17:35,16:14,1:21
10/13/2024,2024-10-13 - Team B at Team A,Team B,40,6,1,4:33,3:12,1:21
10/13/2024,2024-10-13 - Team B at Team A,Team B,14,7,2,15:07,13:46,1:21
10/13/2024,2024-10-13 - Team B at Team A,Team A,15,5,1,1:45,0:24,1:21
10/13/2024,2024-10-13 - Team B at Team A,Team A,26,4,1,1:45,0:24,1:21
10/13/2024,2024-10-13 - Team B at Team A,Team B,9,25,3,6:32,5:12,1:20
