Date,Home_Team,Away_Team,Period,Clock,Home_Team_Skaters,Away_Team_Skaters,Home_Team_Goals,Away_Team_Goals,Team,Player_Id,Event,X_Coordinate,Y_Coordinate,Detail_1,Detail_2,Detail_3,Detail_4,Player_Id_2,X_Coordinate_2,Y_Coordinate_2
11/15/2024,Team C,Team D,1,20:00,5,5,0,0,Team D,45,Faceoff Win,0,0.5,Backhand,,,,91,,
11/15/2024,Team C,Team D,1,19:59,5,5,0,0,Team D,4,Puck Recovery,6,5.5,,,,,,,
11/15/2024,Team C,Team D,1,19:57,5,5,0,0,Team D,4,Dump In/Out,-3,33.5,Lost,,,,,,
11/15/2024,Team C,Team D,1,19:57,5,5,0,0,Team D,4,Zone Entry,-26,35.5,Dumped,,,,55,,
11/15/2024,Team C,Team D,1,19:54,5,5,0,0,Team C,55,Puck Recovery,-80,-39.5,,,,,,,
11/15/2024,Team C,Team D,1,19:51,5,5,0,0,Team C,55,Puck Recovery,-78,-26.5,,,,,,,
11/15/2024,Team C,Team D,1,19:51,5,5,0,0,Team C,55,Play,-78,-26.5,Direct,,,,26,-65,-26.5
11/15/2024,Team C,Team D,1,19:49,5,5,0,0,Team C,26,Play,-38,-37.5,Indirect,,,,62,5,38.5
11/15/2024,Team C,Team D,1,19:46,5,5,0,0,Team C,62,Dump In/Out,5,38.5,Lost,,,,,,
11/15/2024,Team C,Team D,1,19:46,5,5,0,0,Team C,62,Zone Entry,24,37.5,Dumped,,,,4,,
11/15/2024,Team C,Team D,1,19:43,5,5,0,0,Team D,47,Puck Recovery,95,5.5,,,,,,,
11/15/2024,Team C,Team D,1,19:43,5,5,0,0,Team D,47,Play,95,5.5,Indirect,,,,4,97,3.5
11/15/2024,Team C,Team D,1,19:36,5,5,0,0,Team C,26,Puck Recovery,98,0.5,,,,,,,
11/15/2024,Team C,Team D,1,19:35,5,5,0,0,Team C,26,Play,96,16.5,Indirect,,,,41,27,29.5
11/15/2024,Team C,Team D,1,19:32,5,5,0,0,Team C,41,Shot,30,37.5,Wristshot,Blocked,1,f,,,
11/15/2024,Team C,Team D,1,19:30,5,5,0,0,Team D,45,Puck Recovery,66,35.5,,,,,,,
11/15/2024,Team C,Team D,1,19:29,5,5,0,0,Team D,45,Play,90,31.5,Indirect,,,,27,62,-40.5
