Date,game_name,team_name,Player_Id,shift_number,period,start_clock,end_clock,shift_length
11/15/2024,2024-11-15 - Team D at Team C,Team D,Go,3,3,20:00,2:30,17:30
11/15/2024,2024-11-15 - Team D at Team C,Team D,47,22,3,20:00,18:59,1:01
11/15/2024,2024-11-15 - Team D at Team C,Team C,62,21,3,20:00,19:10,0:50
11/15/2024,2024-11-15 - Team D at Team C,Team C,91,23,3,20:00,19:10,0:50
11/15/2024,2024-11-15 - Team D at Team C,Team C,55,24,3,20:00,19:10,0:50
11/15/2024,2024-11-15 - Team D at Team C,Team C,26,19,3,20:00,19:12,0:48
11/15/2024,2024-11-15 - Team D at Team C,Team D,45,19,3,20:00,19:12,0:48
11/15/2024,2024-11-15 - Team D at Team C,Team D,4,23,3,20:00,19:12,0:48
11/15/2024,2024-11-15 - Team D at Team C,Team D,25,18,3,20:00,19:12,0:48
11/15/2024,2024-11-15 - Team D at Team C,Team D,27,20,3,20:00,19:16,0:44
11/15/2024,2024-11-15 - Team D at Team C,Team D,27,11,2,20:00,19:23,0:37
11/15/2024,2024-11-15 - Team D at Team C,Team D,45,10,2,20:00,19:23,0:37
11/15/2024,2024-11-15 - Team D at Team C,Team D,25,9,2,20:00,19:23,0:37
11/15/2024,2024-11-15 - Team D at Team C,Team D,4,11,2,20:00,19:23,0:37
11/15/2024,2024-11-15 - Team D at Team C,Team D,47,11,2,20:00,19:23,0:37
11/15/2024,2024-11-15 - Team D at Team C,Team C,91,10,2,20:00,19:23,0:37
11/15/2024,2024-11-15 - Team D at Team C,Team C,26,10,2,20:00,19:23,0:37
11/15/2024,2024-11-15 - Team D at Team C,Team C,55,10,2,20:00,19:23,0:37
11/15/2024,2024-11-15 - Team D at Team C,Team C,41,9,2,20:00,19:23,0:37
11/15/2024,2024-11-15 - Team D at Team C,Team C,41,23,3,20:00,19:30,0:30
11/15/2024,2024-11-15 - Team D at Team C,Team D,Go,2,2,20:00,0:00,20:00
11/15/2024,2024-11-15 - Team D at Team C,Team C,Go,2,2,20:00,0:00,20:00
11/15/2024,2024-11-15 - Team D at Team C,Team C,Go,3,3,20:00,0:00,20:00
11/15/2024,2024-11-15 - Team D at Team C,Team C,Go,1,1,20:00,0:00,20:00
11/15/2024,2024-11-15 - Team D at Team C,Team D,Go,1,1,20:00,0:00,20:00
11/15/2024,2024-11-15 - Team D at Team C,Team C,55,1,1,20:00,18:19,1:41
11/15/2024,2024-11-15 - Team D at Team C,Team C,62,1,1,20:00,19:03,0:57
11/15/2024,2024-11-15 - Team D at Team C,Team C,26,1,1,20:00,19:03,0:57
11/15/2024,2024-11-15 - Team D at Team C,Team C,41,1,1,20:00,19:05,0:55
11/15/2024,2024-11-15 - Team D at Team C,Team C,91,1,1,20:00,19:05,0:55
11/15/2024,2024-11-15 - Team D at Team C,Team D,27,1,1,20:00,19:06,0:54
11/15/2024,2024-11-15 - Team D at Team C,Team D,45,1,1,20:00,19:06,0:54
11/15/2024,2024-11-15 - Team D at Team C,Team D,25,1,1,20:00,19:06,0:54
11/15/2024,2024-11-15 - Team D at Team C,Team D,47,1,1,20:00,19:06,0:54
11/15/2024,2024-11-15 - Team D at Team C,Team D,4,1,1,20:00,19:06,0:54
11/15/2024,2024-11-15 - Team D at Team C,Team C,48,5,2,19:41,19:36,0:05
11/15/2024,2024-11-15 - Team D at Team C,Team C,62,10,2,19:36,19:23,0:13
11/15/2024,2024-11-15 - Team D at Team C,Team C,14,23,3,19:30,18:31,0:59
11/15/2024,2024-11-15 - Team D at Team C,Team D,44,13,2,19:23,18:04,1:19
11/15/2024,2024-11-15 - Team D at Team C,Team D,7,11,2,19:23,18:42,0:41
11/15/2024,2024-11-15 - Team D at Team C,Team D,14,7,2,19:23,18:42,0:41
11/15/2024,2024-11-15 - Team D at Team C,Team D,41,9,2,19:23,18:42,0:41
11/15/2024,2024-11-15 - Team D at Team C,Team C,70,8,2,19:23,18:45,0:38
11/15/2024,2024-11-15 - Team D at Team C,Team C,84,9,2,19:23,18:45,0:38
11/15/2024,2024-11-15 - Team D at Team C,Team C,46,10,2,19:23,18:45,0:38
11/15/2024,2024-11-15 - Team D at Team C,Team C,14,12,2,19:23,18:45,0:38
11/15/2024,2024-11-15 - Team D at Team C,Team D,18,19,3,19:16,18:31,0:45
11/15/2024,2024-11-15 - Team D at Team C,Team C,28,18,3,19:12,18:31,0:41
11/15/2024,2024-11-15 - Team D at Team C,Team D,14,15,3,19:12,18:31,0:41
11/15/2024,2024-11-15 - Team D at Team C,Team D,41,18,3,19:12,18:31,0:41
11/15/2024,2024-11-15 - Team D at Team C,Team D,44,25,3,19:12,18:31,0:41
11/15/2024,2024-11-15 - Team D at Team C,Team C,84,19,3,19:10,18:31,0:39
11/15/2024,2024-11-15 - Team D at Team C,Team C,70,18,3,19:10,18:31,0:39
11/15/2024,2024-11-15 - Team D at Team C,Team C,46,18,3,19:10,18:31,0:39
11/15/2024,2024-11-15 - Team D at Team C,Team D,44,1,1,19:06,18:04,1:02
11/15/2024,2024-11-15 - Team D at Team C,Team D,7,1,1,19:06,18:04,1:02
11/15/2024,2024-11-15 - Team D at Team C,Team D,18,1,1,19:06,18:17,0:49
11/15/2024,2024-11-15 - Team D at Team C,Team D,41,1,1,19:06,18:17,0:49
11/15/2024,2024-11-15 - Team D at Team C,Team D,14,1,1,19:06,18:25,0:41
11/15/2024,2024-11-15 - Team D at Team C,Team C,14,1,1,19:05,18:04,1:01
11/15/2024,2024-11-15 - Team D at Team C,Team C,70,1,1,19:05,18:19,0:46
11/15/2024,2024-11-15 - Team D at Team C,Team C,28,1,1,19:03,18:07,0:56
11/15/2024,2024-11-15 - Team D at Team C,Team C,84,1,1,19:03,18:19,0:44
11/15/2024,2024-11-15 - Team D at Team C,Team D,7,23,3,18:59,18:31,0:28
11/15/2024,2024-11-15 - Team D at Team C,Team C,62,11,2,18:45,18:04,0:41
11/15/2024,2024-11-15 - Team D at Team C,Team C,89,7,2,18:45,18:04,0:41
11/15/2024,2024-11-15 - Team D at Team C,Team C,41,10,2,18:45,18:04,0:41
11/15/2024,2024-11-15 - Team D at Team C,Team C,38,9,2,18:45,18:04,0:41
11/15/2024,2024-11-15 - Team D at Team C,Team D,28,9,2,18:42,18:04,0:38
11/15/2024,2024-11-15 - Team D at Team C,Team D,13,9,2,18:42,18:04,0:38
11/15/2024,2024-11-15 - Team D at Team C,Team D,47,12,2,18:42,18:04,0:38
11/15/2024,2024-11-15 - Team D at Team C,Team C,67,17,3,18:31,18:06,0:25
11/15/2024,2024-11-15 - Team D at Team C,Team C,89,14,3,18:31,18:06,0:25
11/15/2024,2024-11-15 - Team D at Team C,Team C,92,12,3,18:31,18:06,0:25
11/15/2024,2024-11-15 - Team D at Team C,Team C,46,19,3,18:31,18:06,0:25
11/15/2024,2024-11-15 - Team D at Team C,Team C,14,24,3,18:31,18:06,0:25
11/15/2024,2024-11-15 - Team D at Team C,Team D,13,17,3,18:31,18:06,0:25
11/15/2024,2024-11-15 - Team D at Team C,Team D,19,17,3,18:31,18:06,0:25
