Date,game_name,team_name,Player_Id,shift_number,period,start_clock,end_clock,shift_length
11/16/2024,2024-11-16 - Team F at Team E,Team E,Go,1,1,20:00,0:00,20:00
11/16/2024,2024-11-16 - Team F at Team E,Team F,Go,1,1,20:00,0:00,20:00
11/16/2024,2024-11-16 - Team F at Team E,Team F,Go,2,2,20:00,0:00,20:00
11/16/2024,2024-11-16 - Team F at Team E,Team E,Go,2,2,20:00,0:00,20:00
11/16/2024,2024-11-16 - Team F at Team E,Team E,Go,3,3,20:00,2:10,17:50
11/16/2024,2024-11-16 - Team F at Team E,Team F,78,29,3,7:17,5:31,1:46
11/16/2024,2024-11-16 - Team F at Team E,Team F,78,26,3,15:26,13:40,1:46
11/16/2024,2024-11-16 - Team F at Team E,Team E,44,24,3,4:54,3:13,1:41
11/16/2024,2024-11-16 - Team F at Team E,Team F,56,12,2,16:55,15:14,1:41
11/16/2024,2024-11-16 - Team F at Team E,Team F,5,13,2,16:55,15:14,1:41
11/16/2024,2024-11-16 - Team F at Team E,Team E,18,15,2,12:20,10:41,1:39
11/16/2024,2024-11-16 - Team F at Team E,Team F,21,22,3,7:17,5:39,1:38
11/16/2024,2024-11-16 - Team F at Team E,Team F,56,25,3,7:17,5:43,1:34
11/16/2024,2024-11-16 - Team F at Team E,Team E,29,31,3,5:06,3:32,1:34
11/16/2024,2024-11-16 - Team F at Team E,Team F,64,21,3,4:58,3:25,1:33
11/16/2024,2024-11-16 - Team F at Team E,Team F,55,21,2,4:37,3:05,1:32
11/16/2024,2024-11-16 - Team F at Team E,Team E,45,23,3,11:23,9:53,1:30
11/16/2024,2024-11-16 - Team F at Team E,Team F,13,26,3,9:24,7:57,1:27
11/16/2024,2024-11-16 - Team F at Team E,Team F,78,28,3,9:24,7:57,1:27
11/16/2024,2024-11-16 - Team F at Team E,Team E,19,22,3,9:24,7:57,1:27
11/16/2024,2024-11-16 - Team F at Team E,Team F,42,13,2,5:18,3:51,1:27
11/16/2024,2024-11-16 - Team F at Team E,Team F,36,9,2,10:23,8:58,1:25
11/16/2024,2024-11-16 - Team F at Team E,Team F,78,16,2,10:23,8:58,1:25
11/16/2024,2024-11-16 - Team F at Team E,Team F,5,17,2,10:23,8:58,1:25
11/16/2024,2024-11-16 - Team F at Team E,Team F,55,28,3,6:56,5:31,1:25
11/16/2024,2024-11-16 - Team F at Team E,Team F,36,15,3,11:11,9:47,1:24
11/16/2024,2024-11-16 - Team F at Team E,Team F,3,26,3,10:20,8:57,1:23
11/16/2024,2024-11-16 - Team F at Team E,Team F,36,16,3,4:58,3:37,1:21
11/16/2024,2024-11-16 - Team F at Team E,Team F,13,13,2,16:35,15:14,1:21
11/16/2024,2024-11-16 - Team F at Team E,Team F,78,13,2,16:35,15:14,1:21
11/16/2024,2024-11-16 - Team F at Team E,Team F,78,3,1,15:10,13:50,1:20
11/16/2024,2024-11-16 - Team F at Team E,Team F,55,19,2,8:09,6:50,1:19
11/16/2024,2024-11-16 - Team F at Team E,Team F,3,20,2,8:09,6:50,1:19
11/16/2024,2024-11-16 - Team F at Team E,Team F,55,16,2,17:53,16:35,1:18
11/16/2024,2024-11-16 - Team F at Team E,Team E,18,26,3,17:14,15:56,1:18
11/16/2024,2024-11-16 - Team F at Team E,Team E,45,20,3,17:14,15:56,1:18
11/16/2024,2024-11-16 - Team F at Team E,Team F,91,25,3,17:14,15:56,1:18
11/16/2024,2024-11-16 - Team F at Team E,Team F,29,25,3,17:14,15:56,1:18
11/16/2024,2024-11-16 - Team F at Team E,Team F,13,23,3,17:14,15:56,1:18
11/16/2024,2024-11-16 - Team F at Team E,Team F,56,20,3,17:14,15:56,1:18
11/16/2024,2024-11-16 - Team F at Team E,Team F,5,27,3,17:14,15:56,1:18
11/16/2024,2024-11-16 - Team F at Team E,Team E,44,21,3,11:11,9:53,1:18
11/16/2024,2024-11-16 - Team F at Team E,Team E,19,9,2,17:53,16:36,1:17
11/16/2024,2024-11-16 - Team F at Team E,Team E,36,11,2,17:53,16:36,1:17
11/16/2024,2024-11-16 - Team F at Team E,Team F,91,21,2,2:40,1:23,1:17
11/16/2024,2024-11-16 - Team F at Team E,Team F,29,21,2,2:40,1:23,1:17
11/16/2024,2024-11-16 - Team F at Team E,Team F,13,20,2,2:40,1:23,1:17
11/16/2024,2024-11-16 - Team F at Team E,Team F,5,22,2,2:40,1:23,1:17
11/16/2024,2024-11-16 - Team F at Team E,Team E,25,25,3,11:23,10:06,1:17
11/16/2024,2024-11-16 - Team F at Team E,Team F,26,14,3,11:23,10:06,1:17
11/16/2024,2024-11-16 - Team F at Team E,Team F,49,9,3,11:23,10:06,1:17
11/16/2024,2024-11-16 - Team F at Team E,Team F,49,6,2,14:23,13:06,1:17
11/16/2024,2024-11-16 - Team F at Team E,Team E,18,29,3,9:53,8:39,1:14
11/16/2024,2024-11-16 - Team F at Team E,Team E,20,27,3,9:53,8:39,1:14
11/16/2024,2024-11-16 - Team F at Team E,Team F,3,6,1,12:03,10:49,1:14
11/16/2024,2024-11-16 - Team F at Team E,Team F,55,5,1,12:03,10:49,1:14
11/16/2024,2024-11-16 - Team F at Team E,Team F,71,3,1,12:03,10:49,1:14
11/16/2024,2024-11-16 - Team F at Team E,Team F,38,3,1,12:03,10:49,1:14
11/16/2024,2024-11-16 - Team F at Team E,Team F,78,8,1,7:26,6:12,1:14
11/16/2024,2024-11-16 - Team F at Team E,Team F,26,16,3,4:58,3:44,1:14
11/16/2024,2024-11-16 - Team F at Team E,Team F,13,11,1,1:30,0:17,1:13
11/16/2024,2024-11-16 - Team F at Team E,Team F,64,9,1,1:30,0:17,1:13
11/16/2024,2024-11-16 - Team F at Team E,Team F,42,8,1,1:30,0:17,1:13
11/16/2024,2024-11-16 - Team F at Team E,Team E,44,6,1,8:08,6:56,1:12
11/16/2024,2024-11-16 - Team F at Team E,Team E,45,6,1,8:08,6:56,1:12
11/16/2024,2024-11-16 - Team F at Team E,Team E,46,5,1,8:08,6:56,1:12
11/16/2024,2024-11-16 - Team F at Team E,Team E,68,5,1,8:08,6:56,1:12
11/16/2024,2024-11-16 - Team F at Team E,Team E,19,5,1,8:08,6:56,1:12
11/16/2024,2024-11-16 - Team F at Team E,Team E,89,11,2,4:48,3:36,1:12
11/16/2024,2024-11-16 - Team F at Team E,Team F,3,22,2,3:51,2:40,1:11
11/16/2024,2024-11-16 - Team F at Team E,Team F,36,7,2,14:23,13:12,1:11
